序号	类型	英文	中文释义	例句英文	例句中文	拓展
1	单词	wear	穿，戴	What do you wear for special days?	特殊日子里你穿什么？	
2	单词	cap	（尤指有帽舌的）便帽	You look cool in the cap.	你戴这顶帽子看起来很酷。	
3	单词	coat	外套，外衣	This is my mother's coat.	这是我妈妈的外套。	
4	单词	skirt	半身裙	She wears a new skirt.	她穿了一条新半身裙。	
5	单词	trousers	裤子	Whose trousers are these?	这是谁的裤子？	
6	单词	dress	连衣裙	She wears a red dress.	她穿了一条红色连衣裙。	
7	单词	shirt	（男式）衬衫	This is my father's new shirt.	这是我爸爸的新衬衫。	
8	单词	whose	谁的	Whose cap is it?	它是谁的帽子？	
9	单词	shorts	短裤	Whose shorts are these?	这是谁的短裤？	
10	单词	look	看来好像，显得	You look cool in the cap.	你戴这顶帽子看起来很酷。	
11	单词	in	穿着，戴着	You look cool in the cap.	你戴这顶帽子看起来很酷。	
12	单词	sunglasses	太阳镜，墨镜	I wear sunglasses because they're cool.	我戴太阳镜因为它很酷。	*
13	单词	why	为什么	Why do I wear sunglasses today?	我今天为什么戴太阳镜？	
14	单词	because	因为	I wear sunglasses because they're cool.	我戴太阳镜因为它很酷。	
15	单词	bright	聪明的；明亮的	My students are very bright!	我的学生们非常聪明！	*
16	单词	clothes	衣服	What clothes do you wear?	你穿什么衣服？	
