content	translation	sentence	sentenceCn	core
wear	穿，戴	What do you wear for special days?	特殊日子里你穿什么？	Y
cap	（尤指有帽舌的）便帽	You look cool in the cap.	你戴这顶帽子看起来很酷。	Y
coat	外套，外衣	This is my mother's coat.	这是我妈妈的外套。	Y
skirt	半身裙	She wears a new skirt.	她穿了一条新半身裙。	Y
trousers	裤子	Whose trousers are these?	这是谁的裤子？	Y
dress	连衣裙	She wears a red dress.	她穿了一条红色连衣裙。	Y
shirt	（男式）衬衫	This is my father's new shirt.	这是我爸爸的新衬衫。	Y
whose	谁的	Whose cap is it?	它是谁的帽子？	Y
shorts	短裤	Whose shorts are these?	这是谁的短裤？	Y
look	看来好像，显得	You look cool in the cap.	你戴这顶帽子看起来很酷。	Y
in	穿着，戴着	You look cool in the cap.	你戴这顶帽子看起来很酷。	Y
sunglasses	太阳镜，墨镜	I wear sunglasses because they're cool.	我戴太阳镜因为它很酷。	N
why	为什么	Why do I wear sunglasses today?	我今天为什么戴太阳镜？	Y
because	因为	I wear sunglasses because they're cool.	我戴太阳镜因为它很酷。	Y
bright	聪明的；明亮的	My students are very bright!	我的学生们非常聪明！	N
clothes	衣服	What clothes do you wear?	你穿什么衣服？	Y
