content	translation	sentence	sentenceCn	core
subject	学科，科目	What subject do you like best?	你最喜欢什么学科？	Y
Chinese	语文（课）；中国的	I like Chinese best.	我最喜欢语文。	Y
English	英语（课）；英语的	I like reading English stories.	我喜欢读英语故事。	Y
Maths	数学（课）	I like Maths. I'm good at it.	我喜欢数学，我很擅长。	Y
PE	体育（课）	It's time for PE.	该上体育课了。	Y
Art	美术（课）	We also have Art, PE and Music.	我们还有美术、体育和音乐课。	Y
Science	科学（课）	Science is interesting.	科学课很有趣。	Y
IT	信息科技（课）	I also like IT.	我也喜欢信息科技课。	N
Music	音乐（课）	I like Music best.	我最喜欢音乐课。	Y
Labour	劳动（课）	We have Chinese, Maths, English and Science.	我们有语文、数学、英语和科学课。	N
best	最，最高程度地	What subject do you like best?	你最喜欢什么学科？	Y
also	也	We also have Art, PE and Music.	我们还有美术、体育和音乐课。	Y
It's time for ...	是……的时候了。	It's time for PE.	该上体育课了。	Y
mouse	鼠标；老鼠	Mouse? I'm here!	老鼠？我在这儿！	Y
Welcome back to ...	欢迎回到……	Welcome back to school, class.	欢迎回到学校，同学们。	Y
be good at	擅长	I'm good at Maths.	我擅长数学。	Y
interesting	有趣的，有吸引力的	Science is interesting.	科学课很有趣。	Y
learn about	学习	I want to learn about Chinese culture.	我想了解中国文化。	Y
culture	文化，文明	I want to learn about Chinese culture.	我想了解中国文化。	N
read	阅读	I like reading English stories.	我喜欢读英语故事。	Y
story	故事	I like reading English stories.	我喜欢读英语故事。	Y
all	全部，都	We all like PE!	我们都喜欢体育课！	Y
sports ground	操场，运动场	Let's go to the sports ground!	我们去操场吧！	N
