content	translation	sentence	sentenceCn	core
day	一天，一日	What do you do every day?	你每天做什么？	Y
get up	起床	Bobby, get up! It's seven o'clock.	博比，起床！七点了。	Y
wash	洗	Wash your face first, Bobby.	博比，先洗脸。	Y
face	脸，面孔	Wash your face first, Bobby.	博比，先洗脸。	Y
have lessons	上课	We have lessons at school.	我们在学校上课。	Y
have	吃，喝	It's time for breakfast.	该吃早餐了。	Y
dinner	正餐（常指晚餐）	We have dinner in the evening.	我们晚上吃正餐。	Y
breakfast	早餐，早饭	It's time for breakfast.	该吃早餐了。	Y
lunch	午餐，午饭	We have lunch at twelve o'clock.	我们十二点吃午餐。	Y
go to bed	上床睡觉	I go to bed at nine o'clock.	我九点上床睡觉。	Y
o'clock	（表示整点）……点钟	It's seven o'clock.	七点了。	Y
early	早的，早	It's early.	还早呢。	Y
thirty	三十	It's seven thirty!	七点半了！	Y
first	首先，第一	Wash your face first, Bobby.	博比，先洗脸。	Y
hurry up	快点	Bobby, hurry up!	博比，快点！	Y
What time is it?	几点了？	What time is it now?	现在几点了？	Y
I'm coming!	我来了！	I'm coming!	我来了！	Y
twenty	二十	It's twenty past seven.	七点二十分。	Y
Come on!	赶快！加把劲！	Come on! Let's go!	快点！我们走吧！	Y
class	课，上课	Welcome back to school, class.	欢迎回到学校，同学们。	Y
eleven	十一	It's eleven o'clock.	十一点了。	Y
sport	体育运动	Sport is good for us.	体育运动对我们有好处。	Y
fifteen	十五	It's fifteen past eight.	八点十五分。	Y
It's time to ...	到了……的时间了。	Get up now—it's time to go.	现在起床——该走了。	Y
bed	床	Bobby is still in bed.	博比还在床上。	Y
Good night!	晚安！	Good night, Mum!	晚安，妈妈！	Y
