content	translation	sentence	sentenceCn	core
season	季节	What do you do in different seasons?	你在不同季节做什么？	Y
spring	春天，春季	In spring, it is warm.	春天很温暖。	Y
go boating	去划船	We go boating in spring.	春天我们去划船。	Y
winter	冬天，冬季	It is cold in winter.	冬天很冷。	Y
go skating	去溜冰，去滑冰	We go skating in winter.	冬天我们去滑冰。	N
summer	夏天，夏季	In summer, we eat ice cream.	夏天我们吃冰激凌。	Y
ice cream	冰激凌	In summer, we eat ice cream.	夏天我们吃冰激凌。	Y
go swimming	去游泳	We go swimming in summer.	夏天我们去游泳。	Y
autumn	秋天，秋季	In autumn, it is cool.	秋天很凉爽。	Y
go climbing	去爬山	We go climbing in autumn.	秋天我们去爬山。	N
new	新的	Spring is a new season.	春天是一个新的季节。	Y
cold	寒冷的，冷的	It is cold in winter.	冬天很冷。	Y
bird	鸟	The birds come back in spring.	鸟儿在春天回来。	Y
back	回原处	The birds come back in spring.	鸟儿在春天回来。	Y
in	在（某段时间）内	In spring, we plant trees.	春天我们种树。	Y
year	年	There are four seasons in a year.	一年有四个季节。	Y
plant	栽种，种植	In spring, we plant trees.	春天我们种树。	Y
pick	采，摘	In autumn, we pick fruit.	秋天我们摘果子。	N
snow	雪，积雪	It snows in winter.	冬天下雪。	Y
