序号	类型	英文	中文释义	例句英文	例句中文	拓展
1	单词	different	不同的，有区别的	Our toys are different.	我们的玩具各不相同。	*
2	单词	same	相同的，同一的	Different toys, same fun.	玩具不同，乐趣相同。	*
3	单词	hair	头发	Her hair is long.	她的头发很长。	
4	单词	eye	眼睛	Her eyes are big.	她的眼睛很大。	
5	单词	ear	耳朵	The robot has small ears.	这个机器人耳朵很小。	
6	单词	nose	鼻子	Her nose is small.	她的鼻子很小。	
7	单词	mouth	嘴，口	Her nose and mouth are small.	她的鼻子和嘴巴都很小。	
8	单词	arm	手臂	His arms are long.	他的手臂很长。	
9	单词	leg	腿	You're so tall! Your legs are long.	你真高！你的腿很长。	
10	单词	robot	机器人	These robots are cool!	这些机器人很酷！	
11	单词	his	他的	His face is lovely.	他的脸很可爱。	
12	单词	tall	高的	You're so tall!	你真高！	
13	单词	short	短的	His legs are long, not short.	他的腿很长，不短。	
14	单词	doll	玩具娃娃	Mum, do you like our dolls?	妈妈，你喜欢我们的娃娃吗？	
15	单词	her	她的	Look at her lovely face.	看她可爱的脸。	
16	单词	small	小的	Her nose and mouth are small.	她的鼻子和嘴巴都很小。	
17	单词	bring	带来	The toys bring you lots of fun.	这些玩具给你带来很多乐趣。	
18	单词	lots of	大量，许多	The toys bring you lots of fun.	这些玩具给你带来很多乐趣。	
19	单词	have	组织，举办	Let's have a puppet show.	我们来办一场木偶表演吧。	
20	单词	show	表演，演出	Let's have a puppet show.	我们来办一场木偶表演吧。	
