content	translation	sentence	sentenceCn	core
different	不同的，有区别的	Our toys are different.	我们的玩具各不相同。	N
same	相同的，同一的	Different toys, same fun.	玩具不同，乐趣相同。	N
hair	头发	Her hair is long.	她的头发很长。	Y
eye	眼睛	Her eyes are big.	她的眼睛很大。	Y
ear	耳朵	The robot has small ears.	这个机器人耳朵很小。	Y
nose	鼻子	Her nose is small.	她的鼻子很小。	Y
mouth	嘴，口	Her nose and mouth are small.	她的鼻子和嘴巴都很小。	Y
arm	手臂	His arms are long.	他的手臂很长。	Y
leg	腿	You're so tall! Your legs are long.	你真高！你的腿很长。	Y
robot	机器人	These robots are cool!	这些机器人很酷！	Y
his	他的	His face is lovely.	他的脸很可爱。	Y
tall	高的	You're so tall!	你真高！	Y
short	短的	His legs are long, not short.	他的腿很长，不短。	Y
doll	玩具娃娃	Mum, do you like our dolls?	妈妈，你喜欢我们的娃娃吗？	Y
her	她的	Look at her lovely face.	看她可爱的脸。	Y
small	小的	Her nose and mouth are small.	她的鼻子和嘴巴都很小。	Y
bring	带来	The toys bring you lots of fun.	这些玩具给你带来很多乐趣。	Y
lots of	大量，许多	The toys bring you lots of fun.	这些玩具给你带来很多乐趣。	Y
have	组织，举办	Let's have a puppet show.	我们来办一场木偶表演吧。	Y
show	表演，演出	Let's have a puppet show.	我们来办一场木偶表演吧。	Y
