content	translation	sentence	sentenceCn	core
week	周，星期	How do you plan your week?	你怎么制订一周计划？	Y
Monday	星期一	I have a dancing lesson on Monday.	我星期一有舞蹈课。	Y
Tuesday	星期二	We go to the cinema on Tuesday.	我们星期二去电影院。	Y
Wednesday	星期三	What do you want to do on Wednesday?	你星期三想做什么？	Y
Thursday	星期四	I walk my dog on Thursday.	我星期四遛狗。	Y
Friday	星期五	It's Friday today.	今天是星期五。	Y
Saturday	星期六	I am free on Saturday.	我星期六有空。	Y
Sunday	星期天	We fly a kite on Sunday.	我们星期天放风筝。	Y
when	什么时候	When do you go to the cinema?	你什么时候去电影院？	Y
every	每一个，每个	What do you do every day?	你每天做什么？	Y
at	在（某时间）	I go to bed at nine o'clock.	我九点上床睡觉。	Y
up	起床	Get up now—it's time to go.	现在起床——该走了。	Y
early	提早，提前	I want to go to school early.	我想早点去学校。	Y
today	在今天	What day is it today?	今天星期几？	Y
What day is it today?	今天星期几？	What day is it today?	今天星期几？	Y
cinema	电影院	Let's go to the cinema after school.	放学后我们去看电影吧。	Y
after school	放学后	I walk my dog after school.	我放学后遛狗。	Y
dancing	跳舞，舞蹈	I have a dancing lesson on Monday.	我星期一有舞蹈课。	Y
lesson	一节课，一课时	I have a dancing lesson on Monday.	我星期一有舞蹈课。	Y
walk	牵着（动物）走，遛	I walk my dog after school.	我放学后遛狗。	Y
dog	狗	I walk my dog after school.	我放学后遛狗。	Y
tomorrow	明天；在明天	See you tomorrow!	明天见！	Y
free	空闲的	I am free tomorrow.	我明天有空。	Y
See you tomorrow!	明天见！	See you tomorrow!	明天见！	Y
