What can friends do for each other?	朋友能为彼此做什么？
I share carrots with my friends.	我和朋友分享胡萝卜。
Friends help each other.	朋友互相帮助。
weak	虚弱的，无力的
strong	强壮的
there are	有
them	它们；他们；她们
from	来自
party	聚会，联欢会
us	我们
friendship	友谊
forest	森林
thin	瘦的
back	背部
angry	发怒的，生气的
one day	有朝一日
how	怎样，如何
Please!	求求你！
Go away!	走开！
net	网
sad	悲哀的，难过的
Help!	救命啊！
there is	有
hole	洞
kind	友好的，体贴的
become	变成，变为
There are so many carrots. I want to share them with my friends.	有这么多胡萝卜。我想和朋友们分享。
There are some carrots.	有一些胡萝卜。
They're from my friend Ruby.	它们来自我的朋友 Ruby。
Thank you for the carrots, Ruby. We want to share our fruit with you.	谢谢你的胡萝卜，Ruby。我们想和你分享我们的水果。
Thank you. Let's have a fruit party!	谢谢。我们开水果派对吧！
Great!	太好了！
The fruit is so sweet.	水果真甜。
Like our friendship!	像我们的友谊一样！
There are many animals in the forest. The lion is big and strong. The mouse is small and thin.	森林里有很多动物。狮子又大又强壮。老鼠又小又瘦。
The mouse is on the lion's back. The lion is angry.	老鼠在狮子背上。狮子很生气。
Please don't eat me. I can help you one day.	请不要吃我。有一天我能帮你。
Ha ha! How can you help me? You're so weak!	哈哈！你怎么能帮我？你这么弱！
OK. Go away!	好吧。走开！
The lion is in the net. He is sad.	狮子在网里。他很伤心。
Let me help you.	让我来帮你。
There is a big hole in the net.	网里有一个大洞。
Thank you! You're so kind!	谢谢你！你真友好！
The lion and the mouse become good friends.	狮子和老鼠成了好朋友。
How can you help others at school?	你在学校怎样帮助别人？
I can show you around.	我可以带你参观。
other	另外，其他
room	房间
computer	计算机，电脑
swing	秋千
playground	游戏场
have a look	看一看
careful	小心，谨慎
feel	觉得，感到
library	图书馆
first	第一
floor	楼层
show around	带……参观
any	任何的，任一的
third	第三
later	以后，后来
piano	钢琴
second	第二
Sam, is there a swing in our new playground?	Sam，我们的新操场上有秋千吗？
Yes, there is. Let's go and have a look.	有。我们去看看吧。
The swing is great!	秋千真棒！
Let's go and play!	我们去玩吧！
Now Bobby is on the swing.	现在 Bobby 在秋千上。
Go! Go! Go!	加油！加油！加油！
Be careful, Bobby.	小心，Bobby。
Are you OK?	你没事吧？
Yes, but I feel dizzy ...	没事，但是我觉得头晕……
It's time for Art. Let's go to the art room.	该上美术课了。我们去美术教室吧。
Thank you!	谢谢你！
Here's your book.	这是你的书。
Thanks. I want to take these books to the library.	谢谢。我想把这些书带到图书馆。
I can help you. But where's the library? I'm new here.	我可以帮你。但是图书馆在哪里？我是新来的。
