content	translation	sentence	sentenceCn	core
weather	天气，气象	What's the weather like today?	今天天气怎么样？	Y
cloudy	多云的，阴天的	On Friday, it is cloudy.	星期五多云。	Y
sunny	晴朗的	On Sunday, it is sunny.	星期天晴朗。	Y
cool	凉的，凉爽的	It is cool today.	今天很凉爽。	Y
rainy	阴雨的，多雨的	On Saturday, it is rainy.	星期六下雨。	Y
hot	温度高的，热的	It is hot in summer.	夏天很热。	Y
windy	多风的，风大的	It is windy today.	今天风很大。	Y
warm	温暖的，暖和的	It is warm in spring.	春天很温暖。	Y
save ... for a rainy day	未雨绸缪	Save your money for a rainy day.	把钱存起来以备不时之需。	N
money	钱	Save your money for a rainy day.	把钱存起来以备不时之需。	Y
What's the weather like today?	今天天气怎么样？	What's the weather like today?	今天天气怎么样？	Y
park	公园	Let's go to the park.	我们去公园吧。	Y
meet	（与……）会面，集合	Let's meet at the park.	我们在公园见面吧。	Y
fly a kite	放风筝	We can fly a kite on a windy day.	刮风天我们可以放风筝。	Y
It's raining.	下雨了。	It's raining. Take an umbrella.	下雨了，带把伞。	Y
worry	担心，担忧	Don't worry.	别担心。	Y
umbrella	伞，雨伞	Take an umbrella with you.	你带把伞吧。	Y
there	到那里，在那里	Let's meet there.	我们在那里见面吧。	Y
