序号	类型	英文	中文释义	例句英文	例句中文	拓展
1	单词	weather	天气，气象	What's the weather like today?	今天天气怎么样？	
2	单词	cloudy	多云的，阴天的	On Friday, it is cloudy.	星期五多云。	
3	单词	sunny	晴朗的	On Sunday, it is sunny.	星期天晴朗。	
4	单词	cool	凉的，凉爽的	It is cool today.	今天很凉爽。	
5	单词	rainy	阴雨的，多雨的	On Saturday, it is rainy.	星期六下雨。	
6	单词	hot	温度高的，热的	It is hot in summer.	夏天很热。	
7	单词	windy	多风的，风大的	It is windy today.	今天风很大。	
8	单词	warm	温暖的，暖和的	It is warm in spring.	春天很温暖。	
9	单词	save ... for a rainy day	未雨绸缪	Save your money for a rainy day.	把钱存起来以备不时之需。	*
10	单词	money	钱	Save your money for a rainy day.	把钱存起来以备不时之需。	
11	句子(短语)	What's the weather like today?	今天天气怎么样？	What's the weather like today?	今天天气怎么样？	
12	单词	park	公园	Let's go to the park.	我们去公园吧。	
13	单词	meet	（与……）会面，集合	Let's meet at the park.	我们在公园见面吧。	
14	单词	fly a kite	放风筝	We can fly a kite on a windy day.	刮风天我们可以放风筝。	
15	单词	It's raining.	下雨了。	It's raining. Take an umbrella.	下雨了，带把伞。	
16	单词	worry	担心，担忧	Don't worry.	别担心。	
17	单词	umbrella	伞，雨伞	Take an umbrella with you.	你带把伞吧。	
18	单词	there	到那里，在那里	Let's meet there.	我们在那里见面吧。	
